Question,A,B,C,D,Answer
What is the primary purpose of speed enforcement according to the training?,To increase state revenue,To reduce traffic crashes and severity,To test vehicle speed limits,To monitor driver behavior,B
What is the average perception-reaction time for drivers used in calculations?,1.0 second,1.5 seconds,2.0 seconds,2.5 seconds,B
At 60 mph what is the approximate total stopping distance?,132 feet,160 feet,292 feet,460 feet,C
"Which speed law establishes ""reasonable and prudent speed for existing conditions""?",Absolute Speed Law,Basic Speed Law,Prima Facie Speed Law,Statutory Speed Law,B
In Absolute Speed Law jurisdictions exceeding the posted limit:,Is always a violation,Can be defended if conditions allow,Requires witness confirmation,Only applies at night,A
What is a primary consideration for speed enforcement site selection?,Officer convenience,Concealment from drivers,Speed as a causative factor in crashes,Proximity to coffee shops,C
Which tracking history component involves identifying violators without devices?,Audio Confirmation,Unit Confirmation,Visual Observation,Citation Writing,C
"What does ""audio confirmation"" refer to in radar/LIDAR operations?",Officer announcing the speed,Device's audible tone signal,Driver admitting guilt,Sound of squealing tires,B
The conversion factor between mph and feet per second is approximately:,1 mph = 1.0 fps,1 mph = 1.5 fps,1 mph = 2.2 fps,1 mph = 3.0 fps,B
If doubt exists during tracking history development officers should:,Issue a warning instead,Proceed with enforcement,Take no enforcement action,Request supervisor approval,C
Which location allows safe traffic stops according to safety considerations?,Middle of active traffic lanes,Shoulders with sufficient space,Bridge crossings,Highway medians,B
Basic Speed Law requires driving at speeds:,Exactly at posted limits,Reasonable for conditions,Faster than traffic flow,Determined by vehicle type,B
Higher speeds increase crash severity primarily due to:,Reduced driver visibility,Increased kinetic energy,Smaller braking distances,Improved reaction times,B
What percentage of speeding-related fatalities occurred on non-interstate roads (2015)?,23%,50%,79%,95%,C
Criminal speed violations require proof:,By officer testimony alone,With preponderance of evidence,With reasonable suspicion,Beyond reasonable doubt,D
The Core Module's primary goal is to enable:,Advanced pursuit driving,Crime scene investigation,Speed enforcement activities,Vehicle maintenance skills,C
Which factor directly affects operator capability in the Driving Continuum?,Vehicle color,Age/experience/fatigue,Radio frequency,Time of day,B
Speed zoning establishes limits based on:,Public voting,Police chief discretion,Engineering investigations,Annual accident reports,C
What behavior suggests a potential speed violator during visual observation?,Using turn signals,Maintaining lane position,Weaving through traffic,Stopping at yellow lights,C
Stopping distance at 50 mph is approximately:,88 feet,110 feet,221 feet,240 feet,C
Which element is NOT part of tracking history?,Visual Estimation,Audio Confirmation,Citation Issuing,Unit Confirmation,C
Prima Facie speed limits allow drivers to:,Ignore posted limits,Argue speed was safe for conditions,Demand device calibration,Receive automatic reductions,B
Kinetic energy in crashes increases:,Inversely with speed,Logarithmically with speed,Linearly with speed,Exponentially with speed,D
The training emphasizes that officer safety requires:,High-visibility uniforms,Ignoring environmental hazards,Not endangering public for citations,Using social media alerts,C
What does R.A.D.A.R. stand for?,Radio Audio Detection and Ranging,Radio Analysis Detection and Ranging,Radio Detection And Ranging,Radar Acquisition Direction and Ranging,C
Which principle explains why an approaching train's sound pitch increases?,Newton's Third Law,Doppler Principle,Huygens Principle,Maxwell's Equations,B
R.A.D.A.R. beam width at 500ft with 18° angle is approximately:,40 feet,80 feet,160 feet,320 feet,C
What primarily determines which vehicle's speed is displayed by R.A.D.A.R.?,Vehicle color,Reflective capability and position,Driver visibility,Engine size,B
In stationary mode R.A.D.A.R. measures speed relative to:,The patrol vehicle,The Earth's core,The R.A.D.A.R. device itself,Cloud formations,C
Which component is NOT part of tracking history?,Visual observation,Audio confirmation,Vehicle registration,Unit confirmation,C
Moving R.A.D.A.R. measures patrol speed using reflections from:,Clouds,Power lines,Roadway or stationary terrain,Other vehicles,C
The cosine effect always results in R.A.D.A.R. displaying:,Higher than actual speed,Lower than actual speed,Exact speed,No speed change,B
Shadowing effect occurs when R.A.D.A.R. registers _____ as patrol speed.,Closing speed with large vehicle,Wind speed,Earth's rotation,Radio waves,A
Tuning forks test R.A.D.A.R. accuracy by:,Measuring temperature,Simulating target speeds,Calibrating internal circuits,Testing battery life,B
Judicial notice typically applies to:,Specific R.A.D.A.R. unit accuracy,Doppler Principle scientific validity,Officer's visual estimate,Weather conditions,B
For moving R.A.D.A.R. patrol speed must be verified against:,GPS reading,Another R.A.D.A.R. unit,Vehicle speedometer,Tuning fork,C
